Name;Str.;Hnr.;PLZ;Ort;Landkreis;Ansprechpartner;Tel.;Fax;E-Mail;Webseite;Kategorie;Angebote;"HTML-Inhalt ""weitere Infos""";lat;lng
"Kathrin Holm";"Goerdelerstraße ";10;18069;"Rostock ";;;01722651377;;;;GeriCoach;"GeriCoach, Dozentinnen/Dozenten, Angehörigenschulung, Demenz Partner - Schulungen";"<p>Gesundheitswissenschaftlerin (B. Sc.), Fitnesstrainerin B und Entspannungscoachin</p>";;
"Treff Angehöriger Demenzerkrankter";Katharinenberg;35;18439;Stralsund;;"Constanze Richter";"038 31 – 38 34 39";;constanze.richter@kdw-hst.de;;Selbsthilfe;Angehörigengruppe;"<h3 class=""flip-box-heading-back fusion-responsive-typography-calculated"" data-fontsize=""30"" data-lineheight=""39px"">Treff Angehöriger Demenzerkrankter</h3> <p>dritter Dienstag im Monat</p> <p>um 16:30 Uhr</p>";54.3109192;13.0849961
"Selbsthilfegruppe für Angehörige von Menschen mit Demenz in Rostock Südstadt";"Rudolf-Dieses-Str. ";1c;18059;Rostock;"KS Rostock";"Elfie Zich";"0172/31 75 902";;kontakt@alzheimer-mv.de;;Selbsthilfe;Angehörigengruppe;"<p><strong>Selbsthilfegruppe für Angehörige von Menschen mit Demenz</strong></p> <p>Termin: jeden dritten Montag im Monat 14:00 – 16:00 Uhr</p> <p>Ort: Stadtteilbüro Südstadt/Biestow, Rudolf-Diesel-Str. 1c 18059 Rostock</p> <p>&nbsp;</p> <p>Diese Möglichkeit wurde im April 2025 geschaffen.</p>";54.032685;12.0998008
"Treffpunkt andersARTick von andersARTick e.V.";"Bahnhofstr. ";5;18356;Barth;;"Birgit Bötefür";015164836775;;kontakt@andersartick-ev.de;https://www.andersartick-ev.de/index.php;Netzwerk;;"<p>Öffnungszeiten: Montag bis Freitag 14 &#8211; 18 Uhr sowie nach Vereinbarung</p> <p>&nbsp;</p> <p>Im <strong>Treffpunkt andersARTick</strong> sind Menschen mit und ohne Einschränkungen von 0-120 Jahren willkommen. <strong>Ehrenamtlich</strong> Mitarbeitende sind als Gastgeber für Sie Ansprechpartner. Es gibt die Möglichkeit zu einem netten Plausch mit anderen Gästen, Spiele für alle Alterstufen und Kreativmaterial stehen zur Verfügung. Zahlreiche unterschiedliche Angebote finden sich im Veranstaltungskalender unserer Webseite <strong>www.andersartick-ev.de</strong>. Dazu gehört u.a. ein <strong>Tanzcafé für Menschen mit Demenz und ihre Angehörgen</strong>. Schulungen für Angehörige und Interessierte sowie der Aufbau eines Helferkreises sind in Planung.</p> <p>Aktuell ist der Treffpunkt andersARTick <span style=""text-decoration: underline;""><em>nur beschränkt barrierefrei</em></span>. Es gibt übergangsweise eine mobile Rampe für Rollstuhlfahrende, die von unseren Mitarbeitenden auf Wunsch bedient wird. Das WC ist <span style=""text-decoration: underline;""><em>NICHT</em></span> barrierefrei, ein öffentliches Behinderten-WC ist auf der gegenüberliegenden Straßenseite.</p> <p>&nbsp;</p>";54.3633129;12.7262898
"Netzwerk ""Demenz und Kultur""";"Lange Str.";2a;17489;Greifswald;;"Kathrin Schulz-Jokiel";"03834 875253";;mgh@aktion-sonnenschein-greifswald.de;;Netzwerk;;;54.0963579;13.3703951
"Arbeitsgemeinschaft Demenz Mirow";"Rudolf-Breitscheid-Straße 4";4;17252;Mirow;;"Friederike Halbach";"0160 2050 416";;kontakt@demenz-netzwerk-mirow.de;;Netzwerk;GeriCoach;;53.2750208;12.8156717
"Netzwerk ""Demenzfreundliche Stadt Grevesmühlen""";Rathausplatz;1;23936;Grevesmühlen;;"Stadt Grevesmühlen";"03881 723148 ";;demenz@grevesmuehlen.de;;Netzwerk;GeriCoach;;53.8651653;11.1849571
"Netzwerk Demenz Vorpommern-Rügen";Rotdornweg;10;18439;Stralsund;;"Petra Dunkel";"0176 21 29 91 12";;info@foerderverein-fmmd.de;;Netzwerk;GeriCoach;;54.2699505;13.1107141
"Netzwerk Demenz im öffentlichen Leben in Rostock";"Schwaaner Landstraße";10;18055;Rostock;;"Sina Jankowiak";038120875404;;;;Netzwerk;Demenzsimulator;"<p>Die Mitwirkenden des Netzwerkes stehen für Hilfe, Ermutigung und Verständnis. Gemeinsam setzen sie sich dafür ein, dass Menschen mit Demenz und ihre Angehörigen Teil der Gesellschaft bleiben und Mut finden, die positiven Aspekte des Lebens nicht aus den Augen zu verlieren.</p> <p>Unsere Ziele:</p> <ul> <li>Vermittlung von Wissen und Sensibilisierung zum Thema Demenz</li> <li>Versorgungs- und Entlastungsangebote aufzeigen und ausbauen</li> <li>Unterstützung pflegender Angehöriger durch vernetzte Zusammenarbeit</li> </ul> <p>https://rathaus.rostock.de/de/netzwerk_demenz/323975</p> <p>Unser Podcast: https://open.spotify.com/show/60GjlgkVQ66piVA8dXcI1B</p>";54.0742329;12.1404088
"Ergotherapie Anni Handorf";"Walter-Block-Straße ";11;17139;"Malchin ";;;"+49 176 63135286";;;http://www.ergo-in-malchin.de;Therapie;Ergotherapie;;53.7374634;12.7590437
"Glas- und Gebäudereinigung Henry Klockow";Wiesenstr.;3a;18209;Bartenshagen-Parkentin;;"Stefanie Klockow ";017645791801;;;https://www.glasreinigung-klockow.de;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.0722989;11.9744477
"Gedächtnissprechstunde der gerontopsychiatrischen Institutsambulanz der GGP GmbH";"Goerdelerstr. ";52;18069;Rostock;;"Dörte Hauer-Sahr";0381123714600;0381123714620;geronto@ggp-gruppe.de;;Diagnose;Gedächtnissprechstunde;"<p>Gedächtnissprechstunde der Psychiatrischen Institutsambulanz</p> <p>Gerontopsychiatrie der GGP GmbH (PIA)<br /> Goerdelerstraße 52 18069 Rostock – Reutershagen</p> <p>Terminvereinbarung unter Tel: 0381 12371 &#8211; 4600</p> <p>Mo-Do 9-12 Uhr und 13-16 Uhr, Fr 9-12 Uhr</p>";54.0992117;12.0735297
"LebensArt Dienstleistungsgesellschaft mbH";"Spiegelsdorfer Wende ";2;17491;Greifswald;;;03834-8551744;;info@lebensart-gmbh.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.0765383;13.4015413
"DSFG e.V. Projekt: BHB Betreuungsdienst";"Spiegelsdorfer Wende";5;17491;Greifswald;;;03834-554150;;b-h-b@dsfg.net;;"Entlastung von Pflegenden";"Entlastung von Pflegenden, Entlastung im Alltag durch individuelle Hilfen";;54.0760026;13.4010103
"Weihs, Torald";Burgstr.;13;17489;Greifswald;;;0151-22906432;;info@insta.de;;"Entlastung im Alltag bei der Haushaltsführung";"Entlastung im Alltag bei der Haushaltsführung";;54.0896632;13.3770982
"Alltagshilfe - Thomas Raetz";Knopfstr.;4;17489;Greifswald;;;0162-9483575;;altagshilfe-raetz@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.09792;13.38216
"Hausverwaltungsservice Fischer GmbH";Ziegelhof;11;17489;Greifswald;;;03834-508944;;helgefischer@t-online.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.0904563;13.3507792
